sr,category,district,taluka,village,regno,name,name_confidence,rooms,commercial_value_raw,commercial_value,regulatory_urgency_raw,regulatory_urgency,service_tier,service_tier_score_raw,service_tier_score,value_score,decision_fit,phase1_score,tier
483,C,North Goa,Bardez,Candolim,HOTN000569,Sea Shell Villas,high,45,5.523561956057013,0.6158732488810825,2,0.6666666666666666,1,3,1.0,0.7297,1.0,0.7297,Priority
2611,B,North Goa,Bardez,Mapusa,HOTN006810,Hotel Mayura,high,45,5.523561956057013,0.6158732488810825,2,0.6666666666666666,1,3,1.0,0.7297,1.0,0.7297,Priority
2813,C,North Goa,Bardez,Calangute,HOTN004318,Hotel Centro,high,45,5.523561956057013,0.6158732488810825,2,0.6666666666666666,1,3,1.0,0.7297,1.0,0.7297,Priority
8894,B,South Goa,Canacona,Canacona,HOTS001960,Gateway Goa-Palolem,high,98,6.6293566200796095,0.7391685713097846,3,1.0,3,1,0.3333333333333333,0.729,1.0,0.729,Priority
9429,C,South Goa,Mormugao,Velsao,HOTS001119,98,low,98,6.6293566200796095,0.7391685713097846,3,1.0,3,1,0.3333333333333333,0.729,1.0,0.729,Priority
6832,B,North Goa,Bardez,Anjuna,HOTN002412,Regent Laguna,high,44,5.491853096329675,0.6123377334629608,2,0.6666666666666666,1,3,1.0,0.7283,1.0,0.7283,Priority
9454,B,North Goa,Bardez,Calangute,HOTN001383,Sea Breeze Beach,high,44,5.491853096329675,0.6123377334629608,2,0.6666666666666666,1,3,1.0,0.7283,1.0,0.7283,Priority
2514,B,North Goa,Bardez,Calangute,HOTN001589,The Kings Court,high,44,5.491853096329675,0.6123377334629608,2,0.6666666666666666,1,3,1.0,0.7283,1.0,0.7283,Priority
1960,C,North Goa,Bardez,Calangute,HOTN002130,Rivasa Emerald,high,44,5.491853096329675,0.6123377334629608,2,0.6666666666666666,1,3,1.0,0.7283,1.0,0.7283,Priority
5146,C,North Goa,Bardez,Anjuna,HOTN006546,Holitel,high,44,5.491853096329675,0.6123377334629608,2,0.6666666666666666,1,3,1.0,0.7283,1.0,0.7283,Priority
8557,A,South Goa,Mormugao,Cansaulim,HOTS000129,Heritage Village Club,high,97,6.614709844115209,0.737535466155793,3,1.0,3,1,0.3333333333333333,0.7283,1.0,0.7283,Priority
5241,B,North Goa,Bardez,Arpora,HOTN000538,44,low,44,5.491853096329675,0.6123377334629608,2,0.6666666666666666,1,3,1.0,0.7283,1.0,0.7283,Priority
5244,C,North Goa,Bardez,Anjuna,HOTN006722,Grand Continent,high,44,5.491853096329675,0.6123377334629608,2,0.6666666666666666,1,3,1.0,0.7283,1.0,0.7283,Priority
5382,B,North Goa,Bardez,Anjuna,HOTN000740,Spazio Leisure Resort,high,44,5.491853096329675,0.6123377334629608,2,0.6666666666666666,1,3,1.0,0.7283,1.0,0.7283,Priority
1261,A,North Goa,Bardez,Socorro,HOTN003343,Ira By Orchid Hotel,high,43,5.459431618637297,0.608722761646082,2,0.6666666666666666,1,3,1.0,0.7268,1.0,0.7268,Priority
6560,B,North Goa,Bardez,Candolim,HOTN002731,Unit Of Coastel Sunview Hotels,high,43,5.459431618637297,0.608722761646082,2,0.6666666666666666,1,3,1.0,0.7268,1.0,0.7268,Priority
480,B,North Goa,Bardez,Candolim,HOTN002132,Seashell Suites & Villas,high,43,5.459431618637297,0.608722761646082,2,0.6666666666666666,1,3,1.0,0.7268,1.0,0.7268,Priority
6546,C,North Goa,Bardez,Calangute,HOTN000838,Alidia Beach Cottages,high,42,5.426264754702098,0.6050246797906647,2,0.6666666666666666,1,3,1.0,0.7253,1.0,0.7253,Priority
4216,C,North Goa,Bardez,Saligao,HOTN006491,Vilmaris Villa,high,42,5.426264754702098,0.6050246797906647,2,0.6666666666666666,1,3,1.0,0.7253,1.0,0.7253,Priority
7953,C,North Goa,Bardez,Sangolda,HOTN001355,Sunrise Service Appartment,high,42,5.426264754702098,0.6050246797906647,2,0.6666666666666666,1,3,1.0,0.7253,1.0,0.7253,Priority
2579,C,North Goa,Bardez,Calangute,HOTN003897,Resort Village Royale,high,42,5.426264754702098,0.6050246797906647,2,0.6666666666666666,1,3,1.0,0.7253,1.0,0.7253,Priority
2791,C,North Goa,Bardez,Calangute,HOTN003487,Hotel Artistry Suits,high,42,5.426264754702098,0.6050246797906647,2,0.6666666666666666,1,3,1.0,0.7253,1.0,0.7253,Priority
4513,C,North Goa,Bardez,Penha-De-France,HOTN007155,Sn Blue Hotel,high,42,5.426264754702098,0.6050246797906647,2,0.6666666666666666,1,3,1.0,0.7253,1.0,0.7253,Priority
6801,B,North Goa,Bardez,Pilerne,HOTN000657,Hotel Orion,high,42,5.426264754702098,0.6050246797906647,2,0.6666666666666666,1,3,1.0,0.7253,1.0,0.7253,Priority
1860,B,North Goa,Bardez,Calangute,HOTN002069,41,low,41,5.392317422778761,0.6012395763069346,2,0.6666666666666666,1,3,1.0,0.7238,1.0,0.7238,Priority
4606,A,North Goa,Bardez,Candolim,HOTN003492,41,low,41,5.392317422778761,0.6012395763069346,2,0.6666666666666666,1,3,1.0,0.7238,1.0,0.7238,Priority
1148,C,North Goa,Bardez,Calangute,HOTN002580,Sia Signature,high,41,5.392317422778761,0.6012395763069346,2,0.6666666666666666,1,3,1.0,0.7238,1.0,0.7238,Priority
6400,B,North Goa,Bardez,Calangute,HOTN001414,Delta Residency,high,40,5.357552004618084,0.5973632567867296,2,0.6666666666666666,1,3,1.0,0.7223,1.0,0.7223,Priority
2305,C,North Goa,Bardez,Calangute,HOTN002799,Lemonmint Svelton Manor,high,40,5.357552004618084,0.5973632567867296,2,0.6666666666666666,1,3,1.0,0.7223,1.0,0.7223,Priority
2577,C,North Goa,Bardez,Calangute,HOTN004113,Peninsula Beach Resort,high,40,5.357552004618084,0.5973632567867296,2,0.6666666666666666,1,3,1.0,0.7223,1.0,0.7223,Priority
7028,C,North Goa,Bardez,Candolim,HOTN012345,Seven Mataluxe,high,40,5.357552004618084,0.5973632567867296,2,0.6666666666666666,1,3,1.0,0.7223,1.0,0.7223,Priority
4847,C,North Goa,Bardez,Sangolda,HOTN004112,40,low,40,5.357552004618084,0.5973632567867296,2,0.6666666666666666,1,3,1.0,0.7223,1.0,0.7223,Priority
1200,C,North Goa,Bardez,Calangute,HOTN002147,Krish Retreat,high,40,5.357552004618084,0.5973632567867296,2,0.6666666666666666,1,3,1.0,0.7223,1.0,0.7223,Priority
292,C,North Goa,Bardez,Calangute,HOTN002798,Lemonmint Svelton Manor,high,40,5.357552004618084,0.5973632567867296,2,0.6666666666666666,1,3,1.0,0.7223,1.0,0.7223,Priority
2633,C,North Goa,Bardez,Pilerne,HOTN005552,Walom Grand Resort,high,40,5.357552004618084,0.5973632567867296,2,0.6666666666666666,1,3,1.0,0.7223,1.0,0.7223,Priority
1204,B,North Goa,Bardez,Reis-Magos,HOTN001704,Noah Ark,high,40,5.357552004618084,0.5973632567867296,2,0.6666666666666666,1,3,1.0,0.7223,1.0,0.7223,Priority
410,C,North Goa,Bardez,Parra,HOTN002231,Zone Connect,high,40,5.357552004618084,0.5973632567867296,2,0.6666666666666666,1,3,1.0,0.7223,1.0,0.7223,Priority
7900,B,North Goa,Bardez,Candolim,HOTN002478,Sinq Prive,high,40,5.357552004618084,0.5973632567867296,2,0.6666666666666666,1,3,1.0,0.7223,1.0,0.7223,Priority
1111,C,North Goa,Bardez,Mapusa,HOTN000470,Sirsat Lodge,high,40,5.357552004618084,0.5973632567867296,2,0.6666666666666666,1,3,1.0,0.7223,1.0,0.7223,Priority
6608,C,North Goa,Bardez,Pilerne,HOTN005687,Hue Guh The Porto Candolim,high,39,5.321928094887363,0.5933912160640494,2,0.6666666666666666,1,3,1.0,0.7207,1.0,0.7207,Priority
4246,C,North Goa,Bardez,Calangute,HOTN005549,Amara By The Sea,high,39,5.321928094887363,0.5933912160640494,2,0.6666666666666666,1,3,1.0,0.7207,1.0,0.7207,Priority
2586,B,North Goa,Bardez,Calangute,HOTN003934,Rahi Coral Beach Resort,high,39,5.321928094887363,0.5933912160640494,2,0.6666666666666666,1,3,1.0,0.7207,1.0,0.7207,Priority
4582,C,North Goa,Bardez,Calangute,HOTN002785,Krish Baga,high,38,5.285402218862249,0.5893186067378977,2,0.6666666666666666,1,3,1.0,0.7191,1.0,0.7191,Priority
291,C,North Goa,Bardez,Calangute,HOTN002784,Krish Holiday Inn,high,38,5.285402218862249,0.5893186067378977,2,0.6666666666666666,1,3,1.0,0.7191,1.0,0.7191,Priority
2321,C,North Goa,Bardez,Reis-Magos,HOTN005153,Aqualira,high,38,5.285402218862249,0.5893186067378977,2,0.6666666666666666,1,3,1.0,0.7191,1.0,0.7191,Priority
421,B,North Goa,Bardez,Arpora,HOTN000555,La Sunila Suite Apartment,high,38,5.285402218862249,0.5893186067378977,2,0.6666666666666666,1,3,1.0,0.7191,1.0,0.7191,Priority
1362,C,North Goa,Bardez,Calangute,HOTN003525,Carol In Beach Resort Pvt Ltd,high,38,5.285402218862249,0.5893186067378977,2,0.6666666666666666,1,3,1.0,0.7191,1.0,0.7191,Priority
1718,C,North Goa,Bardez,Calangute,HOTN003298,Hotel Golden Sands,high,38,5.285402218862249,0.5893186067378977,2,0.6666666666666666,1,3,1.0,0.7191,1.0,0.7191,Priority
7274,B,North Goa,Bardez,Arpora,HOTN000706,Acron Waterfront Resort,high,38,5.285402218862249,0.5893186067378977,2,0.6666666666666666,1,3,1.0,0.7191,1.0,0.7191,Priority
8339,B,North Goa,Bardez,Candolim,HOTN000713,37,low,37,5.247927513443585,0.5851402036058851,2,0.6666666666666666,1,3,1.0,0.7174,1.0,0.7174,Priority
6578,C,North Goa,Bardez,Candolim,HOTN006398,The Tanisi Hotels And Resorts,high,37,5.247927513443585,0.5851402036058851,2,0.6666666666666666,1,3,1.0,0.7174,1.0,0.7174,Priority
553,B,North Goa,Bardez,Anjuna,HOTN002450,3102bce,high,37,5.247927513443585,0.5851402036058851,2,0.6666666666666666,1,3,1.0,0.7174,1.0,0.7174,Priority
1436,C,North Goa,Bardez,Calangute,HOTN001318,Sea View Beach Resort,high,37,5.247927513443585,0.5851402036058851,2,0.6666666666666666,1,3,1.0,0.7174,1.0,0.7174,Priority
8668,B,South Goa,Mormugao,Cortalim,HOTS000236,81,low,81,6.357552004618085,0.7088625490515209,3,1.0,3,1,0.3333333333333333,0.7169,1.0,0.7169,Priority
55,C,North Goa,Bardez,Calangute,HOT0000063,Hotel Villa Bomfim,high,36,5.20945336562895,0.5808503633540624,2,0.6666666666666666,1,3,1.0,0.7157,1.0,0.7157,Priority
2597,C,North Goa,Bardez,Calangute,HOTN004978,Krish Retreat,high,36,5.20945336562895,0.5808503633540624,2,0.6666666666666666,1,3,1.0,0.7157,1.0,0.7157,Priority
4870,C,North Goa,Bardez,Candolim,HOTN006647,Hotel Reemz Perola Do Mar,high,36,5.20945336562895,0.5808503633540624,2,0.6666666666666666,1,3,1.0,0.7157,1.0,0.7157,Priority
